HomeTeam,AwayTeam,HomeGoals,AwayGoals
,73,  South Africa ,  Canada 
,76,  Brazil ,  Japan 
,77,  France ,  Sweden 
,78,  Ivory Coast ,  Norway 
,79,  Mexico ,  Ecuador 
,80,  England ,  Congo DR 
,81,  United States ,  Bosnia and Herzegovina 
,83,  Portugal ,  Croatia 
,84,  Spain ,  Austria 
,85,  Switzerland ,  Algeria 
,87,  Colombia ,  Ghana 
,89,  Paraguay ,  France 
,90,  Canada ,  Morocco 
,91,  Brazil ,  Norway 
,92,  Mexico ,  England 
,93,  Portugal ,  Spain 
,94,  United States ,  Belgium 
Mexico,South Africa,2,0
South Korea,Czechia,2,1
South Africa,Czechia,1,1
Mexico,South Korea,1,0
Mexico,Czechia,3,0
South Africa,South Korea,1,0
Canada,Bosnia and Herzegovina,1,1
Qatar,Switzerland,1,1
Bosnia and Herzegovina,Switzerland,1,4
Canada,Qatar,6,0
Bosnia and Herzegovina,Qatar,3,1
Canada,Switzerland,1,2
Brazil,Morocco,1,1
Haiti,Scotland,0,1
Morocco,Scotland,1,0
Brazil,Haiti,3,0
Brazil,Scotland,3,0
Morocco,Haiti,4,2
United States,Paraguay,4,1
Australia,Turkey,2,0
United States,Australia,2,0
Paraguay,Turkey,1,0
Paraguay,Australia,0,0
United States,Turkey,2,3
Germany,Curacao,7,1
Ivory Coast,Ecuador,1,0
Germany,Ivory Coast,2,1
Curacao,Ecuador,0,0
Curacao,Ivory Coast,0,2
Germany,Ecuador,1,2
Netherlands,Japan,2,2
Sweden,Tunisia,5,1
Netherlands,Sweden,5,1
Japan,Tunisia,4,0
Japan,Sweden,1,1
Netherlands,Tunisia,3,1
Belgium,Egypt,1,1
Iran,New Zealand,2,2
Belgium,Iran,0,0
Egypt,New Zealand,3,1
Belgium,New Zealand,5,1
Egypt,Iran,1,1
Spain,Cape Verde,0,0
Saudi Arabia,Uruguay,1,1
Spain,Saudi Arabia,4,0
Cape Verde,Uruguay,2,2
Cape Verde,Saudi Arabia,0,0
Spain,Uruguay,1,0
France,Senegal,3,1
Iraq,Norway,1,4
France,Iraq,3,0
Senegal,Norway,2,3
France,Norway,4,1
Senegal,Iraq,5,0
Argentina,Algeria,3,0
Austria,Jordan,3,1
Argentina,Austria,2,0
Algeria,Jordan,2,1
Algeria,Austria,3,3
Argentina,Jordan,3,1
Portugal,Congo DR,1,1
Uzbekistan,Colombia,1,3
Portugal,Uzbekistan,5,0
Congo DR,Colombia,0,1
Congo DR,Uzbekistan,3,1
Portugal,Colombia,0,0
England,Croatia,4,2
Ghana,Panama,1,0
England,Ghana,0,0
Croatia,Panama,1,0
Croatia,Ghana,2,1
England,Panama,2,0
